identifier,Temperature/ K,source_doi,SMILES,reference_doi,method,Molecular_Weight,InChI,CMC,pCMC,Temp_Celsius
C12E0SO4Na,288.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.008400000000000001,2.0757207139381184,15.0
C12E0SO4Na,293.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.0081,2.0915149811213505,20.0
C12E0SO4Na,298.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.0081,2.0915149811213505,25.0
C12E0SO4Na,303.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.0081,2.0915149811213505,30.0
C12E0SO4Na,308.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.0083,2.0809219076239263,35.0
C12E0SO4Na,313.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.0085,2.070581074285707,40.0
C12E0SO4Na,318.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.0086,2.065501548756432,45.0
C12E0SO4Na,323.15,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1",0.0089,2.050609993355087,50.0
C12E1SO4Na,278.15,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry,332.438,"InChI=1S/C14H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-18-13-14-19-20(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",0.005,2.3010299956639813,5.0
C12E1SO4Na,283.15,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry,332.438,"InChI=1S/C14H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-18-13-14-19-20(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",0.0048,2.318758762624413,10.0
C12E1SO4Na,288.15,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry,332.438,"InChI=1S/C14H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-18-13-14-19-20(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",0.0045,2.3467874862246565,15.0
C12E1SO4Na,293.15,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry,332.438,"InChI=1S/C14H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-18-13-14-19-20(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",0.0045,2.3467874862246565,20.0
C12E1SO4Na,298.15,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry,332.438,"InChI=1S/C14H30O5S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-18-13-14-19-20(15,16)17;/h2-14H2,1H3,(H,15,16,17);/q;+1/p-1",0.0045,2.3467874862246565,25.0
