entry,type,R,n,X,β (%),CMC (mM),Temp_Celsius,source_doi,reference_doi,SMILES,method
1,3,C10H23,,Br,75,0.43,25,10.1021/la901641f,,CCCCCCCCCCC(CSCCSCC(CCCCCCCCCC)[N+](C=CC1)=CC=1)[N+](=CC=C1)C=C1.[Br-].[Br-],tensiometry
2,3,C12H25,,Br,63,0.1,25,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCC)[N+](C=CC1)=CC=1)[N+](=CC=C1)C=C1.[Br-].[Br-],tensiometry
3,3,C14H27,,Br,55,0.03,25,10.1021/la901641f,,CCCCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCCCCC)[N+](C=CC1)=CC=1)[N+](=CC=C1)C=C1.[Br-].[Br-],tensiometry
4,1,C12H25,3,Br,82,0.83,30,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.[Br-].[Br-],conductometry
5,1,C12H25,3,Cl,69,1.51,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.[Cl-].[Cl-],conductometry
6,1,C12H25,4,Cl,67,1.28,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.[Cl-].[Cl-],conductometry
7,1,C12H25,8,Cl,44,1.11,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCCCCCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.[Cl-].[Cl-],conductometry
8,1,C12H25,12,Cl,48,0.22,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCCCCCCCCCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.[Cl-].[Cl-],conductometry
9,1,C12H25,2,CH3SO3,74,2.07,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.CS(=O)(=O)[O-].CS(=O)(=O)[O-],conductometry
10,1,C12H25,3,CH3SO3,72,2.09,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.CS(=O)(=O)[O-].CS(=O)(=O)[O-],conductometry
11,1,C12H25,4,CH3SO3,40,1.93,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.CS(=O)(=O)[O-].CS(=O)(=O)[O-],conductometry
12,1,C12H25,8,CH3SO3,57,1.32,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCCCCCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.CS(=O)(=O)[O-].CS(=O)(=O)[O-],conductometry
13,1,C12H25,12,CH3SO3,57,0.75,25,10.1021/la901641f,,CCCCCCCCCCCC[N+](=CC=C1)C(=C1)CCCCCCCCCCCCC(C=CC1)=[N+](C=1)CCCCCCCCCCCC.CS(=O)(=O)[O-].CS(=O)(=O)[O-],conductometry
14,2,C10H21,4,Br,,2.69,25,10.1021/la901641f,10.1021/la701154w,CCCCCCCCCCc1cccc([n+]1CCCC[n+]2c(CCCCCCCCCC)cccc2).[Br-].[Br-],tensiometry
15,2,C10H21,6,Br,,2,25,10.1021/la901641f,10.1021/la701154w,CCCCCCCCCCc1cccc([n+]1CCCCCC[n+]2c(CCCCCCCCCC)cccc2).[Br-].[Br-],tensiometry
16,2,C12H25,4,Br,,0.56,25,10.1021/la901641f,10.1021/la701154w,CCCCCCCCCCCCc1cccc([n+]1CCCC[n+]2c(CCCCCCCCCCCC)cccc2).[Br-].[Br-],tensiometry
17,2,C12H25,6,Br,,0.54,25,10.1021/la901641f,10.1021/la701154w,CCCCCCCCCCCCc1cccc([n+]1CCCCCC[n+]2c(CCCCCCCCCCCC)cccc2).[Br-].[Br-],tensiometry
