compound,TK (°C),CMC (mM),CMC err (mM),Temp_Celsius,source_doi,reference_doi,SMILES
CTAB,24.0,,,,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,,1.15,0.01,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,,1.12,0.02,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
CTAB,,0.935,,25.0,10.1021/jp982131g,10.1039/ft9908603623,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
12/02/2012,14.4,,,,10.1021/jp982131g,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
12/02/2012,,1.38,0.02,46.5,10.1021/jp982131g,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
12/02/2012,,1.31,0.02,46.5,10.1021/jp982131g,,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
12/02/2012,,0.84,0.04,25.0,10.1021/jp982131g,10.1021/la00054a008,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-]
14/02/2014,32.8,,,,10.1021/jp982131g,,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-]
14/02/2014,,0.2,0.01,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-]
14/02/2014,,0.21,2.0,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-]
16/02/2016,45.0,,,,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/02/2016,,0.034,0.003,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/02/2016,,0.032,0.002,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/02/2016,,0.021,0.001,25.0,10.1021/jp982131g,10.1021/la00054a008,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/04/2006,33.6,,,,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/04/2006,,0.044,0.001,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/04/2006,,0.042,0.002,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/04/2006,,0.027,0.015,25.0,10.1021/jp982131g,10.1021/la00054a008,CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/06/2016,41.0,,,,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/06/2016,,0.047,0.004,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/06/2016,,0.048,0.002,46.5,10.1021/jp982131g,,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
16/06/2016,,0.043,0.005,25.0,10.1021/jp982131g,10.1021/la00054a008,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-]
