surfactant,γcmc (mN/m),cmc tensiometry (mM),cmc fluorometry (mM),C20 (mM),106Γmax (mol/m2),Amin (nm2/mol),γcac (mN/m),cac tensiometry (mM),cac fluorometry (mM),SMILES,source_doi,reference_doi
py-8-4-8,,,,,,,52.1,1.65,1.65,CCCCCCCCC1=[N+](C=CC=C1)CCCC[N+]2=CC=CC=C2CCCCCCCC.[Br-].[Br-],10.1021/la701154w,
py-10-4-10,38.5,2.69,2.42,0.76,2.76,0.6,45.4,0.53,0.6,CCCCCCCCCCC1=[N+](C=CC=C1)CCCC[N+]2=CC=CC=C2CCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,
py-12-4-12,40.5,0.56,0.56,0.23,1.77,0.94,43.5,0.13,0.07,CCCCCCCCCCCCC1=[N+](C=CC=C1)CCCC[N+]2=CC=CC=C2CCCCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,
py-8-6-8,,,,,,,51.1,1.28,1.3,CCCCCCCCC1=[N+](C=CC=C1)CCCCCC[N+]2=CC=CC=C2CCCCCCCC.[Br-].[Br-],10.1021/la701154w,
py-10-6-10,41.6,2.0,2.16,0.74,2.25,0.74,46.0,0.6,0.69,CCCCCCCCCCC1=[N+](C=CC=C1)CCCCCC[N+]2=CC=CC=C2CCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,
py-12-6-12,43.7,0.54,0.64,0.21,1.68,0.99,44.1,0.1,0.12,CCCCCCCCCCCCC1=[N+](C=CC=C1)CCCCCC[N+]2=CC=CC=C2CCCCCCCCCCCC.[Br-].[Br-],10.1021/la701154w,
py-10-2,54.7,8.06,,,,,,,,CC[N+](C=CC=C1)=C1CCCCCCCCCC.[Br-],10.1021/la701154w,
py-10-3,53.7,6.09,,,,,,,,CCC[N+](C=CC=C1)=C1CCCCCCCCCC.[Br-],10.1021/la701154w,
py-12-2,47.3,3.62,,2.9,,,,,,CC[N+](C=CC=C1)=C1CCCCCCCCCCCC.[Br-],10.1021/la701154w,
py-12-3,47.2,2.81,,2.25,,,,,,CCC[N+](C=CC=C1)=C1CCCCCCCCCCCC.[Br-],10.1021/la701154w,
